id,cif_low,cif_up,currency,timestamp,updated,name,price
1,0,500,USD,"2016-07-05 05:00:30.721215","2016-07-05 05:00:30.721326","Escala 1",0
2,500.1,1000,USD,"2016-07-05 05:00:57.996536","2016-07-05 05:00:57.996589","Escala 2",12
3,1000.1,2000,USD,"2016-07-05 05:01:37.424501","2016-07-05 05:01:37.424601","Escala 3",30
4,2000.1,8000,USD,"2016-07-05 05:02:09.098854","2016-07-05 05:02:09.098963","Escala 4",48
5,8000.1,30000,USD,"2016-07-05 05:02:41.422375","2016-07-05 05:04:41.989708","Escala 5",108
6,30000.1,100000,USD,"2016-07-05 05:03:11.982519","2016-07-05 05:04:58.458046","Escala 6",240
7,100000.1,10000000,USD,"2016-07-05 05:03:34.352721","2016-07-05 05:05:09.439317","Escala 7",600
