id,despachante,cif_low,cif_up,percentage,timestamp,updated,currency,name
1,Navatta,0,25000,1.5,"2016-07-05 05:14:23.067108","2016-07-05 05:14:23.067176",USD,"Escala 1"
2,Navatta,25000.1,50000,1.25,"2016-07-05 05:15:11.157006","2016-07-05 05:15:11.157119",USD,"Escala 2"
3,Navatta,50000.1,100000,1,"2016-07-05 05:15:36.799539","2016-07-05 05:15:36.799590",USD,"Escala 3"
4,Navatta,100000.1,250000,0.75,"2016-07-05 05:16:02.734369","2016-07-05 05:16:02.734460",USD,"Escala 4"
5,Navatta,250000.1,500000,0.5,"2016-07-05 05:17:17.010113","2016-07-05 05:17:17.010177",USD,"Escala 5"
6,Navatta,500000.1,10000000,0.2,"2016-07-05 05:17:50.276598","2016-07-05 05:17:50.276656",USD,"Escala 6"
