id,ratio_low,multiplicator,timestamp,updated,currency,name,ratio_up
1,0,13,"2016-07-05 05:07:06.783716","2016-07-05 05:07:06.783810",USD,"Escala 1",500
2,500.1,20,"2016-07-05 05:07:26.474856","2016-07-05 05:07:26.474923",USD,"Escala 2",1000
3,1000.1,39,"2016-07-05 05:07:49.219884","2016-07-05 05:07:49.219989",USD,"Escala 3",1500
4,1500.1,78,"2016-07-05 05:08:12.078671","2016-07-05 05:08:12.078730",USD,"Escala 4",2000
6,2000.1,111,"2016-07-05 05:11:11.067406","2016-07-05 05:11:11.067738",USD,"Escala 5",2500
7,2500.1,130,"2016-07-05 05:11:58.789300","2016-07-05 05:11:58.789359",USD,"Escala 6",10000000
